Word,Value
Familie,1.03
Kronprinsen,1.03
Ukraine,1.05
Børn,1.1
Krig,1.1
Covid-19,1.15
Nytårshilsen,1.15
Prins Joachim,1.15
Integration,1.18
Corona,1.2
Glæde,1.2
Arbejde,1.25
Europa,1.25
Fællesskab,1.3
Sydslesvig,1.3
Generationer,1.33
Politiet,1.33
Ansvar,1.35
Kongeskibet,1.35
Kronprinsparret,1.35
Muligheder,1.35
Reformationen,1.35
Børnebørn,1.5
Flygtninge,1.5
Frankrig,1.5
Mundbind,1.5
Terror,1.5
Vaccine,1.72
Omsorg,1.75
Sundhedspersonale,1.75
Dronning Elizabeth,1.9
Ceremoni,2.25
Energikrise,2.5
Restriktioner,2.75
